,Date,Ticker,Sector,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_tot,Open,High,Low,Close,Volume
0,2019-03-15,MSFT,Technology,0.065,0.065,0.065,0.065,109.594,111.408,108.881,110.135,54681100.0
1,2019-03-18,MSFT,Technology,0.,0.,0.,0.,110.382,111.750,110.268,111.712,31207600.0
2,2019-03-26,MSFT,Technology,0.,0.,0.,0.,112.710,112.796,111.028,112.036,26097700.0
3,2019-03-28,MSFT,Technology,0.,0.,0.,0.,111.589,111.722,110.344,111.104,18334800.0
4,2019-03-31,MSFT,Technology,0.,0.,0.,0.,111.589,111.722,110.344,111.104,18334800.0
5,2019-04-02,MSFT,Technology,0.082,0.082,0.082,0.082,113.128,113.527,112.615,113.252,18142300.0
6,2019-04-03,MSFT,Technology,0.,0.,0.,0.,113.888,114.430,113.214,113.993,22860700.0
7,2019-04-04,MSFT,Technology,0.,0.,0.,0.,114.116,114.24,112.482,113.413,20112800.0
8,2019-04-06,MSFT,Technology,0.073,0.073,0.073,0.073,114.116,114.24,112.482,113.413,20112800.0
9,2019-04-07,MSFT,Technology,0.,0.,0.,0.,114.116,114.24,112.482,113.413,20112800.0
10,2019-04-08,MSFT,Technology,0.0815,0.0815,0.0815,0.0815,113.841,114.040,112.729,113.955,15116200.0
11,2019-04-09,MSFT,Technology,0.052,0.052,0.052,0.052,112.72,113.584,112.672,113.337,17612000.0
12,2019-04-10,MSFT,Technology,0.,0.,0.,0.,113.793,114.354,113.584,114.202,16477200.0
13,2019-04-11,MSFT,Technology,0.,0.,0.,0.,114.535,114.829,113.945,114.335,14209100.0
14,2019-04-12,MSFT,Technology,0.068,0.068,0.068,0.068,114.63,114.953,114.373,114.924,19745100.0
15,2019-04-15,MSFT,Technology,0.0234,0.0234,0.0234,0.0234,114.915,115.523,114.563,115.019,15792600.0
16,2019-04-16,MSFT,Technology,0.10867,0.10867,0.10867,0.10867,115.58,115.589,114.116,114.753,14071800.0
17,2019-04-17,MSFT,Technology,0.1,0.1,0.1,0.1,115.2,115.779,114.534,115.703,19300900.0
18,2019-04-18,MSFT,Technology,0.,0.,0.,0.,116.102,117.366,115.257,117.224,27991000.0
19,2019-04-19,MSFT,Technology,0.,0.,0.,0.,116.102,117.366,115.257,117.224,27991000.0
20,2019-04-21,MSFT,Technology,0.,0.,0.,0.,116.102,117.366,115.257,117.224,27991000.0
21,2019-04-22,MSFT,Technology,0.029,0.029,0.029,0.029,116.511,117.822,116.463,117.594,15648700.0
22,2019-04-23,MSFT,Technology,0.042,0.042,0.042,0.042,117.917,119.323,117.661,119.190,24025500.0
23,2019-04-24,MSFT,Technology,0.,0.,0.,0.,119.523,119.58,118.316,118.782,31257000.0
24,2019-04-25,MSFT,Technology,0.00756,0.00756,0.00756,0.00756,123.580,124.825,122.411,122.716,38033900.0
25,2019-04-26,MSFT,Technology,0.,0.,0.,0.,123.238,124.017,122.592,123.419,23654900.0
26,2019-04-27,MSFT,Technology,0.,0.,0.,0.,123.238,124.017,122.592,123.419,23654900.0
27,2019-04-29,MSFT,Technology,0.03175,0.03175,0.03175,0.03175,123.428,123.694,122.906,123.305,16324200.0
28,2019-04-30,MSFT,Technology,0.,0.,0.,0.,123.343,124.188,122.944,124.093,24166500.0
29,2019-05-01,MSFT,Technology,0.0108,0.0108,0.0108,0.0108,124.027,124.141,121.338,121.509,26821700.0
30,2019-05-02,MSFT,Technology,0.04217,0.04217,0.04217,0.04217,121.604,121.623,119.266,119.922,27350200.0
31,2019-05-06,MSFT,Technology,0.018,0.018,0.018,0.018,120.093,122.155,119.827,121.765,24239800.0
32,2019-05-07,MSFT,Technology,0.,0.,0.,0.,120.16,120.844,118.031,119.266,36017700.0
33,2019-05-08,MSFT,Technology,0.015,0.015,0.015,0.015,119.190,120.074,118.535,119.257,28419000.0
34,2019-05-09,MSFT,Technology,0.,0.,0.,0.,118.098,119.523,117.414,119.247,27235800.0
35,2019-05-12,MSFT,Technology,0.102,0.102,0.102,0.102,118.098,119.523,117.414,119.247,27235800.0
36,2019-05-14,MSFT,Technology,0.0215,0.0215,0.0215,0.0215,117.699,119.608,117.537,118.516,25266300.0
37,2019-05-15,MSFT,Technology,0.,0.,0.,0.,118.506,120.843,117.972,120.185,24722700.0
38,2019-05-17,MSFT,Technology,0.,0.,0.,0.,122.369,124.419,121.997,122.14,25770500.0
39,2019-05-18,MSFT,Technology,0.,0.,0.,0.,122.369,124.419,121.997,122.14,25770500.0
40,2019-05-20,MSFT,Technology,0.051,0.051,0.051,0.051,120.662,121.682,119.937,120.375,23706900.0
41,2019-05-21,MSFT,Technology,0.,0.,0.,0.,121.529,121.625,120.719,121.024,15293300.0
42,2019-05-22,MSFT,Technology,0.,0.,0.,0.,120.757,122.302,120.662,121.758,15396500.0
43,2019-05-23,MSFT,Technology,0.019,0.019,0.019,0.019,120.356,120.442,118.964,120.337,23603800.0
44,2019-05-24,MSFT,Technology,0.,0.,0.,0.,121.034,121.52,120.137,120.395,14123400.0
